13,0,0,231515286,1012345574,163509065,564228829,304897866,711594654,198598822,497730636,245318003,383873583,192542242,330888800,242124118,328046687,259892977,337797540,302776985,358991552,410903559,430604609,456185256,427856169,558287476,461368932,657850679,437016565,802573029,367978866,844471333,216632191,677082994,71100240,322540412,9074305,67770211,336091,7062749,6144,1098424,33,318140,0,102809,0,34910,0,10491,0,3458,0,598,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,400452379,1653935408,270511183,853520137,477883417,1019670583,299446340,680195735,358611541,505516372,275920366,434212042,336110184,419056592,372419327,443921770,428871814,463615089,569885733,534928723,618329989,525748995,747179733,571924153,868476694,538112853,1039820330,443772381,1073389005,252079677,837777897,78853135,377906252,9366299,69891959,278506,5115028,3544,541851,6,124383,0,33630,0,9966,0,2257,0,690,0,47,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,604057671,-1942069407,389469626,1122367922,650774217,1269092715,390031732,805598066,453322278,577790346,342188845,493108531,404413863,464070181,464937531,507369066,527942801,520626233,687194482,582411538,728753003,568493646,876429731,629446205,1005663942,590728496,1185150000,478054223,1204013020,263763288,924979724,79494831,403355859,8925258,67950423,213496,3547085,2470,233865,0,35793,0,7042,0,1610,0,207,0,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,797250564,-1369840537,489381890,1286902902,771736942,1375066861,440262333,829226783,497164681,574017262,369028206,486599885,422905685,446613139,507492480,506815366,567836110,511732719,723962790,558454240,749374716,541471304,903530236,614684232,1024635360,577438174,1191630802,459407889,1194138817,247559389,912557946,72537488,393189533,7801089,62998035,151233,2434246,1086,88957,0,6701,0,698,0,68,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,922562936,-1109822306,537502124,1288752510,797759804,1298087185,431493297,742819776,474061226,495729175,347090372,418021034,384893292,374104453,485237487,443788256,535324936,441690394,668278825,472477021,673780837,454383190,820609693,531678030,921258062,501440653,1059349873,393135824,1047919181,207634857,803121085,59332845,347864636,6138177,54679347,95551,1630678,479,35882,0,812,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,936878619,-1254011767,516188969,1127592347,718690176,1066998571,367447877,579076035,393457520,371719265,285032776,312575954,304933574,272946500,406493193,340852816,442937185,335019264,541122897,352563463,529738878,335411747,656671338,405912908,730712122,385495399,833267493,298893880,812931555,155081694,628593245,43259772,278262708,4301811,44242828,54926,1095720,119,13225,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,834793671,-1749758418,433052799,861089638,563437622,762069149,271769342,392303521,284282469,241403413,204204088,203029547,210099809,173396784,297912797,229175613,321539986,223069259,384142028,231482704,363755235,217200337,462491099,272256817,510847977,261220437,579919372,201207330,556479264,102789259,435606191,27910487,199589905,2630464,32836020,28354,706777,9,5533,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,651803854,1864990410,316682735,572499793,383339927,471189346,174310193,230305363,178648583,135235987,127263794,114109572,125624825,95736098,190418502,134275833,204364998,130066039,238569357,133155034,217558916,122818549,285937231,159532377,313757009,155086384,356515444,119440694,335145771,60192140,265852124,15825245,127462615,1384928,22154256,13008,445125,0,1536,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,444841206,1193187731,201133292,330010664,225383292,250833268,96685833,116633046,97440700,64978502,68642257,55172321,64963848,45748422,105638911,68076895,113289286,66153485,129138397,66695831,112853199,60234424,154535945,81117888,168540643,80054187,193046856,62160603,176965273,30971579,141999683,7837668,71751251,617922,13374291,5164,265025,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,264337689,663772314,110360535,163926242,113836988,114091188,46183332,50621659,45966052,26568017,31799000,22765893,28912655,18780333,50528362,29588678,54454487,29174812,60605126,28857357,50467019,25391124,72560365,35497534,78684019,35564987,91589339,28153824,81517045,13897766,65901185,3360319,35244552,231142,7148670,1611,148318,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
